"District/LEA","District #","School","School #","Private","Charter","T-I Prev.","T-I Curr.","Grades","Address","City","Zip","Map","Link","Stats","Phone","Fax","Chartered By","Opened","Closed","Principal/Director","Principal Name","Principal Email"
"Alpine District","01","Bonneville School","107","Public","","Title I","Title I","Pre - 6","1245 N 800 W","OREM","84057","geo:40.320167,-111.715885","http://bonneville.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01107","801-610-8101","801-227-8705","","1977","","Principal","Shawn Brooks","sbrooks@alpinedistrict.org"
"Alpine District","01","Brookhaven School","203","Public","","","","Pre - 6","7082 North Seedling Drive","EAGLE MOUNTAIN","84005","geo:40.290507,-112.043852","","https://datagateway.schools.utah.gov/Schools/01203","","","","2018","","Principal","Brady Rowley","browley@alpinedistrict.org"
"Alpine District","01","Canyon View Jr High","405","Public","","","","7 - 9","625 E 950 N","OREM","84097","geo:40.315514,-111.679934","http://cvjh.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01405","801-610-8130","801-227-8706","","1985","","Principal","Wade Lott","wlott@alpinedistrict.org"
"Alpine District","01","Cascade School","108","Public","","","","Pre - 6","160 N 800 E","OREM","84097","geo:40.758148,-111.8835328","http://cascade.alpinedistrict.org/Cascade_Website/Cascade_Home.html","https://datagateway.schools.utah.gov/Schools/01108","801-610-8102","801-227-8709","","1968","","Principal","Boyce Campbell","bcampbell@alpinedistrict.org"
"Alpine District","01","Cedar Ridge School","111","Public","","","","Pre - 6","4501 W CEDAR HILLS DR","CEDAR HILLS","84062","geo:40.414756,-111.766286","http://cedarridge.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01111","801-610-8103","801-763-9537","","1997","","Principal","Alicia Poulton","apoulton@alpinedistrict.org"
"Alpine District","01","Cedar Valley School","112","Public","","","","Pre - 6","40 E CENTER","CEDAR FORT","84013","geo:40.326704,-112.105955","http://www.alpine.k12.ut.us/phpApps/genericPage.php?pdid=1222","https://datagateway.schools.utah.gov/Schools/01112","801-610-8702","801-766-1370","","1907","","Principal","Lori Bellitti","lbellitti@alpinedistrict.org"
"Alpine District","01","Centennial Elementary","226","Public","","","","Pre - 6","450 S. 400 East","OREM","84097","geo:40.7581398,-111.8835072","www.alpineschools.org","https://datagateway.schools.utah.gov/Schools/01226","801-610-8400","801-610-8516","","2019","","Principal","Shelley Schroeder","shellyschroeder@alpinedistrict.org"
"Alpine District","01","Central School","116","Public","","Title I","Title I","Pre - 6","95 N 400 E","PLEASANT GROVE","84062","geo:40.364901,-111.733926","","https://datagateway.schools.utah.gov/Schools/01116","801-610-8104","801-785-8741","","1950","","Principal","Ryan Wells","ryanwells@alpinedistrict.org"
"Alpine District","01","Cherry Hill School","118","Public","","Title I","Title I","Pre - 6","250 E 1650 S","OREM","84097","geo:40.266615,-111.6895","","https://datagateway.schools.utah.gov/Schools/01118","801-610-8105","801-227-8712","","1965","","Principal","Heather Slaymaker","hslaymaker@alpinedistrict.org"
"Alpine District","01","Dan W. Peterson","840","Public","","","","Pre - 12","169 N 1100 E","AMERICAN FORK","84003","geo:40.380371,-111.769623","","https://datagateway.schools.utah.gov/Schools/01840","801-756-8551","801-763-7022","","1981","","Principal","Kimberly Wong","kwong@alpinedistrict.org"
"Alpine District","01","Deerfield School","119","Public","","","","Pre - 6","4353 W HARVEY BLVD","CEDAR HILLS","84062","geo:40.405652,-111.762726","http://www.deerfield.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01119","801-610-8106","801-796-3145","","2002","","Principal","Caroline Knadler","cknadler@alpinedistrict.org"
"Alpine District","01","Dry Creek School","183","Public","","","","Pre - 6","1301 W. 1450 S.","LEHI","84043","geo:40.4139705,-111.8687955","","https://datagateway.schools.utah.gov/Schools/01183","801-610-8730","801-766-8818","","2014","","Principal","Lili Dietz","pdietz@alpinedistrict.org"
"Alpine District","01","Eagle Valley School","121","Public","","","","Pre - 6","4475 N HERITAGE DR","EAGLE MOUNTAIN","84005","geo:40.312559,-112.011596","http://eaglevalley.alpinedistrict.org","https://datagateway.schools.utah.gov/Schools/01121","801-610-8704","801-789-8304","","2004","","Principal","Jack Kingsford","jkingsford@alpinedistrict.org"
"Alpine District","01","Eaglecrest School","120","Public","","","","Pre - 6","2760 N 300 W","LEHI","84043","geo:40.422548,-111.8536","http://eaglecrest.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01120","801-610-8703","801-768-7039","","1997","","Principal","William Shumaker","wshumaker@alpinedistrict.org"
"Alpine District","01","East Shore Online","790","Public","","","","9 - 12","1551 W 1000 S","OREM","84058","geo:40.278504,-111.732756","","https://datagateway.schools.utah.gov/Schools/01790","801-227-2440","801-227-2447","","2012","","Principal","Carolyn Merrill","cmerrill@alpinedistirct.org"
"Alpine District","01","Foothill School","123","Public","","","","Pre - 6","921 N 1240 E","OREM","84097","geo:40.314029,-111.667229","http://www.alpine.k12.ut.us/phpApps/genericPage.php?pdid=1563","https://datagateway.schools.utah.gov/Schools/01123","801-610-8107","801-227-2466","","1999","","Principal","Jeremy Brunner","jbrunner@alpinedistrict.org"
"Alpine District","01","Forbes School","124","Public","","","","K - 6","281 N 200 E","AMERICAN FORK","84003","geo:40.382456,-111.793877","http://forbes.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01124","801-610-8705","801-756-8571","","1948","","Principal","Travis Proctor","tproctor@alpinedistrict.org"
"Alpine District","01","Fox Hollow School","126","Public","","","","Pre - 6","1450 W 3200 N","LEHI","84043","geo:40.428143,-111.873467","http://www.alpine.k12.ut.us/phpApps/genericPage.php?pdid=1284","https://datagateway.schools.utah.gov/Schools/01126","801-610-8706","801-768-2742","","2006","","Principal","Darrin Johnson","djohnson@alpinedistrict.org"
"Alpine District","01","Freedom School","125","Public","","","","Pre - 6","10326 N 6800 W","HIGHLAND","84003","geo:40.420005,-111.820173","http://www.freedom.alpine.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/01125","801-610-8707","801-766-5272","","2003","","Principal","Melissa Allmon","mallmon@alpinedistrict.org"
"Alpine District","01","Frontier Middle School","417","Public","","","","7 - 9","1427 East Mid Valley Road","EAGLE MOUNTAIN","84005","geo:40.333918,-112.016258","","https://datagateway.schools.utah.gov/Schools/01417","801-610-8777","801-789-3800","","2013","","Administrator","Jarom Becar","jbecar@alpinedistrict.org"
"Alpine District","01","Geneva School","128","Public","","Title I","Title I","Pre - 6","400 N 665 W","OREM","84057","geo:40.303576,-111.71137","http://geneva.alpinedistrict.org/geneva_elem/Welcome.html","https://datagateway.schools.utah.gov/Schools/01128","801-610-8108","801-227-8716","","1948","","Principal","John Shelton","jshelton@alpinedistrict.org"
"Alpine District","01","Greenwood School","132","Public","","Title I","Title I","Pre - 6","50 E 200 S","AMERICAN FORK","84003","geo:40.371981,-111.796901","http://greenwood.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01132","801-610-8708","801-756-8536","","1956","","Principal","Matthew Killpack","mkillpack@alpinedistrict.org"
"Alpine District","01","Grovecrest School","136","Public","","","","Pre - 6","200 E 1100 N","PLEASANT GROVE","84062","geo:40.374673,-111.737708","http://www.alpine.k12.ut.us/phpApps/genericPage.php?pdid=61","https://datagateway.schools.utah.gov/Schools/01136","801-610-8109","801-785-8715","","1955","","Principal","Kyle Hoopes","kylehoopes@alpinedistrict.org"
"Alpine District","01","Harvest School","138","Public","","","","Pre - 6","2105 N PROVIDENCE DRIVE","SARATOGA SPRINGS","84045","geo:40.400551,-111.933454","http://harvest.alpinedistrict.org/Harvest/Home.html","https://datagateway.schools.utah.gov/Schools/01138","801-610-8709","801-768-1947","","2006","","Principal","Charles Stewart","ckstewart@alpinedistrict.org"
"Alpine District","01","Hidden Hollow School","139","Public","","","","Pre - 6","2546 E PONY EXPRESS PARKWAY","EAGLE MOUNTAIN","84005","geo:40.361974,-111.984207","http://www.alpine.k12.ut.us/phpApps/genericPage.php?pdid=1869","https://datagateway.schools.utah.gov/Schools/01139","801-610-8721","801-789-7806","","2008","","Principal","Keith Conley","kconley@alpinedistrict.org"
"Alpine District","01","Highland School","140","Public","","","","Pre - 6","10865 N 6000 W","HIGHLAND","84003","geo:40.42892,-111.803673","http://www.highland.alpine.k12.ut.us/Highland/Home_of_the_Hawks.html","https://datagateway.schools.utah.gov/Schools/01140","801-610-8710","801-763-7001","","1979","","Principal","Reed Hodson","rhodson@alpinedistrict.org"
"Alpine District","01","Hillcrest School","144","Public","","","","null","651 E 1400 S","OREM","84097","geo:40.272245,-111.679922","http://hillcrest.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01144","801-610-8110","801-227-8719","","1954","2019","Principal","Zachary Eagar","zeagar@alpinedistrict.org"
"Alpine District","01","Horizon School","808","Public","","","","Pre - 12","682 W 210 N","SARATOGA SPRINGS","84045","geo:40.372558,-111.929157","","https://datagateway.schools.utah.gov/Schools/01808","801-610-8728","","","2011","","Principal","Cathleen Matheson","cmatheson@alpinedistrict.org"
"Alpine District","01","Lake Mountain Middle","450","Public","","","","K - 12","1058 South Old Farm Road","SARATOGA SPRINGS","84045","geo:40.340224,-111.919416","","https://datagateway.schools.utah.gov/Schools/01450","801-610-8400","801-610-8516","","2019","","Principal","Mark Whitaker","mwhitaker@alpinedistrict.org"
"Alpine District","01","Lakeridge Jr High","406","Public","","","","7 - 9","951 S 400 W","OREM","84058","geo:40.2799,-111.703419","http://lakeridge.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01406","801-610-8134","801-227-2490","","1976","","Principal","David Lund","dlund@alpinedistrict.org"
"Alpine District","01","Legacy School","146","Public","","","","Pre - 6","28 E 1340 N","AMERICAN FORK","84003","geo:40.402577,-111.797357","http://legacy.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01146","801-610-8711","801-756-8568","","1995","","Principal","Thomas Tillman","ttillman@alpinedistrict.org"
"Alpine District","01","Lehi High","708","Public","","","","10 - 12","180 N 500 E","LEHI","84043","geo:40.390081,-111.839794","http://www.lehi.alpine.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/01708","801-610-8805","801-768-7007","","1960","","Principal","Douglas Webb","dwebb@alpinedistrict.org"
"Alpine District","01","Lehi Jr High","408","Public","","","","7 - 9","700 E CEDAR HOLLOW RD","LEHI","84043","geo:40.40368,-111.837402","http://lehijr.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01408","801-610-8754","801-768-7016","","1921","","Principal","Kevin Thomas","kevinthomas@alpinedistrict.org"
"Alpine District","01","Lehi School","148","Public","","","","Pre - 6","765 N CENTER","LEHI","84043","geo:40.39707,-111.850855","http://www.alpine.k12.ut.us/phpApps/genericPage.php?pdid=2682","https://datagateway.schools.utah.gov/Schools/01148","801-610-8712","801-768-7022","","1951","","Principal","Kerri Hundley","khundley@alpinedistrict.org"
"Alpine District","01","Liberty Hills Elementary","113","Public","","","","K - 6","3501 West 2450 North","LEHI","84043","geo:40.758148,-111.8835328","","https://datagateway.schools.utah.gov/Schools/01113","801-610-8400","801-610-8516","","2019","","Principal","Zachary Eagar","zeagar@alpinedistrict.org"
"Alpine District","01","Lindon School","156","Public","","","","Pre - 6","30 N MAIN","LINDON","84042","geo:40.338753,-111.714473","http://www.lindon.alpine.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/01156","801-610-8111","801-785-8749","","1983","","Principal","Kate Ross","kateross@alpinedistrict.org"
"Alpine District","01","Lone Peak High","709","Public","","","","10 - 12","10189 N 4800 W","HIGHLAND","84003","geo:40.418048,-111.774711","http://lonepeak.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01709","801-610-8810","801-763-7064","","1996","","Principal","Scott Sumner","ssumner@alpinedistrict.org"
"Alpine District","01","Manila School","160","Public","","","","Pre - 6","1726 N 600 W","PLEASANT GROVE","84062","geo:40.382278,-111.748468","http://manila.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01160","801-610-8112","801-785-8784","","1983","","Principal","Paul Finlayson","pfinlayson@alpinedistrict.org"
"Alpine District","01","Meadow School","154","Public","","","","Pre - 6","176 S 500 W","LEHI","84043","geo:40.385503,-111.858168","http://meadow.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01154","801-610-8713","801-768-7018","","1982","","Principal","Alisa Hart","ahart@alpinedistrict.org"
"Alpine District","01","Mount Mahogany School","161","Public","","Title I","Title I","Pre - 6","618 N 1300 W","PLEASANT GROVE","84062","geo:40.370571,-111.75842","http://mahogany.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01161","801-610-8113","801-785-8798","","2000","","Principal","Jeff Shirley","jshirley@alpinedistrict.org"
"Alpine District","01","Mountain Ridge Jr High","410","Public","","","","7 - 9","5525 W 10400 N","HIGHLAND","84003","geo:40.419834,-111.790812","http://mountainridge.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01410","801-610-8758","801-763-7018","","1993","","Principal","John Hanks","jhanks@alpinedistrict.org"
"Alpine District","01","Mountain Trails School","205","Public","","","","Pre - 6","3951 NORTH WOOD ROAD","EAGLE MOUNTAIN","84005","geo:40.308272,-112.032103","http://mountaintrails.alpinedistrict.org/Mountain_Trails/Home.html","https://datagateway.schools.utah.gov/Schools/01205","801-610-8724","801-789-6080","","2010","","Principal","Carl Stubbs","cstubbs@alpinedistrict.org"
"Alpine District","01","Mountain View High","711","Public","","","","10 - 12","665 W CENTER","OREM","84057","geo:40.295805,-111.711272","http://mountainview.alpinedistrict.org/index.html","https://datagateway.schools.utah.gov/Schools/01711","801-610-8160","801-227-8764","","1980","","Principal","Michael Ericksen","mericksen@alpinedistrict.org"
"Alpine District","01","North Point School","150","Public","","","","Pre - 6","2300 W 1900 N","LEHI","84043","geo:40.410436,-111.887884","","https://datagateway.schools.utah.gov/Schools/01150","801-610-8722","801-768-0337","","2009","","Principal","Peter Gallant","pgallant@alpinedistrict.org"
"Alpine District","01","Northridge School","155","Public","","","","Pre - 6","1660 N 50 E","OREM","84057","geo:40.327999,-111.694311","http://nridge.net/","https://datagateway.schools.utah.gov/Schools/01155","801-610-8114","801-227-8726","","1980","","Principal","John Labare III","jlabare@alpinedistrict.org"
"Alpine District","01","Oak Canyon Jr High","412","Public","","","","7 - 10","111 S 725 E","LINDON","84042","geo:40.335722,-111.698348","http://oakcanyon.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01412","801-610-8138","801-785-8768","","1993","","Principal","Diane Wanamaker","dwanamaker@alpinedistrict.org"
"Alpine District","01","Orchard School","151","Public","","","","Pre - 6","1035 N 800 E","OREM","84097","geo:40.316383,-111.677646","http://orchard.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01151","801-610-8115","801-227-2433","","1984","","Principal","Kerry Milner","kmilner@alpinedistrict.org"
"Alpine District","01","Orem High","712","Public","","","","10 - 12","175 S 400 E","OREM","84097","geo:40.293527,-111.684398","http://oremhighschool.com/","https://datagateway.schools.utah.gov/Schools/01712","801-610-8165","801-227-8774","","1956","","Principal","Lynn Gerratt","lgerratt@alpinedistrict.org"
"Alpine District","01","Orem Jr High","414","Public","","Title I","Title I","7 - 9","765 N 600 W","OREM","84057","geo:40.310883,-111.711316","http://www.alpine.k12.ut.us/phpApps/genericPage.php?pdid=1994","https://datagateway.schools.utah.gov/Schools/01414","801-610-8142","801-227-8796","","1963","","Principal","Belinda Talonia","btalonia@alpinedistrict.org"
"Alpine District","01","Orem School","157","Public","","","","Pre - 6","450 W 400 S","OREM","84058","geo:40.290636,-111.706788","http://oremelem.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01157","801-610-8116","801-227-8729","","1973","","Principal","Andrea Park","apark@alpinedistrict.org"
"Alpine District","01","Pleasant Grove High","716","Public","","","","10 - 12","700 E 200 S","PLEASANT GROVE","84062","geo:40.360134,-111.725441","http://www.pghs.alpine.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/01716","801-610-8170","801-785-8744","","1959","","Principal","Steven Stewart","skstewart@alpinedistrict.org"
"Alpine District","01","Pleasant Grove Jr High","416","Public","","","","7 - 9","810 N 100 E","PLEASANT GROVE","84062","geo:40.371557,-111.738302","http://www.pgjr.alpine.k12.ut.us/pgcms/index.php","https://datagateway.schools.utah.gov/Schools/01416","801-610-8146","801-785-8743","","1975","","Principal","Todd Dalley","tdalley@alpinedistrict.org"
"Alpine District","01","Polaris High School","782","Public","","","","9 - 12","1551 W 1000 S","OREM","84058","geo:40.278504,-111.732756","www.polaris.alpineschools.org","https://datagateway.schools.utah.gov/Schools/01782","801-610-8180","801-227-2447","","2012","","Principal","Christian Smith","chsmith@alpinedistrict.org"
"Alpine District","01","Polaris West High","783","Public","","","","10 - 12","690 South 500 East","AMERICAN FORK","84003","geo:40.638504,-111.897079","","https://datagateway.schools.utah.gov/Schools/01783","801-610-8400","","","2019","","Principal","Kristopher Packer","kpacker@alpinedistrict.org"
"Alpine District","01","Pony Express School","153","Public","","","","Pre - 6","3985 E SMITH RANCH RD","EAGLE MOUNTAIN","84005","geo:40.358922,-111.96694","http://ponyexpress.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01153","801-610-8714","801-789-2604","","2002","","Principal","Aaron Stevenson","astevenson@alpinedistrict.org"
"Alpine District","01","Ridgeline School","165","Public","","","","Pre - 6","6250 W 11800 N","HIGHLAND","84003","geo:40.446513,-111.808099","http://www.ridgeline.alpine.k12.ut.us/Ridgeline_Elementary/Raccoons_Rock.html","https://datagateway.schools.utah.gov/Schools/01165","801-610-8715","801-492-0263","","2006","","Principal","Timothy Pead","tpead@alpinedistrict.org"
"Alpine District","01","River Rock School","201","Public","","","","Pre - 6","520 North 1700 West","LEHI","84043","geo:40.3937097,-111.8764976","www.alpineschools.org","https://datagateway.schools.utah.gov/Schools/01201","801-610-8731","801-768-7060","","2015","","Principal","Brian Ridge","bridge@alpinedistrict.org"
"Alpine District","01","Riverview School","219","Public","","","","Pre - 6","273 W ASPEN HILLS BLVD","SARATOGA SPRINGS","84045","geo:40.391566,-111.92988","","https://datagateway.schools.utah.gov/Schools/01219","801-610-8726","801-766-2252","","2011","","Principal","Matthew Dias","mdias@alpinedistrict.org"
"Alpine District","01","Rocky Mountain School","162","Public","","","","Pre - 6","55 S 500 E","LINDON","84042","geo:40.3366,-111.702467","http://www.rockymountainelementary.org/","https://datagateway.schools.utah.gov/Schools/01162","801-610-8117","801-796-3133","","1996","","Principal","Kathryn Bowman","kbowman@alpinedistrict.org"
"Alpine District","01","Sage Hills School","167","Public","","","","Pre - 6","3033 SWAINSON AVE","SARATOGA SPRINGS","84045","geo:40.306648,-111.895001","http://www.alpine.k12.ut.us/phpApps/genericPage.php?pdid=2553","https://datagateway.schools.utah.gov/Schools/01167","801-610-8723","801-341-5915","","2009","","Principal","John Emett","jemett@alpinedistrict.org"
"Alpine District","01","Saratoga Shores School","163","Public","","","","Pre - 6","1415 S PARKSIDE DR","SARATOGA SPRINGS","84045","geo:40.335594,-111.920612","http://saratogashores.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01163","801-610-8716","801-766-6443","","2004","","Principal","Helena Mueller","hmueller@alpinedistrict.org"
"Alpine District","01","Scera Park","158","Public","","","","Pre - 6","450 S 400 E","OREM","84097","geo:40.288545,-111.687094","http://www.alpine.k12.ut.us/phpApps/genericPage.php?pdid=905","https://datagateway.schools.utah.gov/Schools/01158","801-610-8118","801-227-8732","","1963","2020","Principal","Lori Bellitti","lbellitti@alpinedistrict.org"
"Alpine District","01","Sego Lily School","164","Public","","","","Pre - 6","550 E 900 N","LEHI","84043","geo:40.398257,-111.841747","http://segolily.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01164","801-610-8717","801-768-7034","","1957","","Principal","Peter Swiderski","pswiderski@alpinedistrict.org"
"Alpine District","01","Serv By Appt","850","Public","","","","Pre - 3","575 N 100 E","AMERICAN FORK","84003","geo:40.388315,-111.796538","","https://datagateway.schools.utah.gov/Schools/01850","801-756-8400","","","2002","","Director","",""
"Alpine District","01","Sharon School","168","Public","","Title I","Title I","Pre - 6","525 N 400 E","OREM","84097","geo:40.30705,-111.687102","http://sharon.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01168","801-610-8119","801-227-8735","","1955","","Principal","Michael Larson","mlarson@alpinedistrict.org"
"Alpine District","01","Shelley School","170","Public","","","","Pre - 6","602 N 200 W","AMERICAN FORK","84003","geo:40.388687,-111.802674","http://shelley.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01170","801-610-8718","801-763-7020","","1967","","Principal","Matthew Goebel","mgoebel@alpinedistrict.org"
"Alpine District","01","Skyridge High School","785","Public","","","","9 - 12","3000 North Center Street","LEHI","84043","geo:40.4253761,-111.8519183","shs.alpineschools.org","https://datagateway.schools.utah.gov/Schools/01785","801-610-8820","","","2016","","Principal","Joel Perkins","jperkins@alpinedistrict.org"
"Alpine District","01","Snow Springs School","172","Public","","","","Pre - 6","850 S 1700 W","LEHI","84043","geo:40.377807,-111.87769","http://www.alpine.k12.ut.us/phpApps/genericPage.php?pdid=1323","https://datagateway.schools.utah.gov/Schools/01172","801-610-8719","801-768-7049","","2000","","Principal","Jory Schmidt","jschmidt@alpinedistrict.org"
"Alpine District","01","Springside School","202","Public","","","","Pre - 6","694 South Highpoint Drive","SARATOGA SPRINGS","84045","geo:40.3494704,-111.9152738","springside.alpineschools.org","https://datagateway.schools.utah.gov/Schools/01202","801-610-8732","801-854-5505","","2016","","Principal","Gary Gibb","ggibb@alpinedistrict.org"
"Alpine District","01","Summit High","730","Public","","","","7 - 12","1581 W 1000 S","Orem","84058","geo:40.2785575,-111.7352697","","https://datagateway.schools.utah.gov/Schools/01730","801-610-8183","801-756-8563","","1983","","Director","Daniel Biolo","dbiolo@alpinedistrict.org"
"Alpine District","01","Suncrest School","174","Public","","Title I","Title I","Pre - 6","668 W 150 N","OREM","84057","geo:40.300825,-111.712182","","https://datagateway.schools.utah.gov/Schools/01174","801-610-8120","801-227-8738","","1986","","Principal","Edgar Guzman","eguzman@alpinedistrict.org"
"Alpine District","01","Thunder Ridge School","256","Public","","","","Pre - 6","264 N. 750 W","SARATOGA SPRINGS","84045","geo:40.365891,-111.929182","","https://datagateway.schools.utah.gov/Schools/01256","801-610-8727","801-766-2311","","2011","","Principal","Carla Jensen","cjensen@alpinedistrict.org"
"Alpine District","01","Timberline Middle","420","Public","","","","7 - 9","500 W CANYON CREST","ALPINE","84004","geo:40.45023,-111.787123","http://timberline.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01420","801-610-8765","801-763-7045","","2003","","Principal","John Glahn","pglahn@alpinedistrict.org"
"Alpine District","01","Timpanogos High","718","Public","","","","10 - 12","1450 N 200 E","OREM","84057","geo:40.322723,-111.691494","http://timpanogos.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01718","801-610-8175","801-223-3134","","1996","","Principal","Joseph Jensen","joejensen@alpinedistrict.org"
"Alpine District","01","Traverse Mountain School","258","Public","","","","Pre - 6","2500 W CHAPEL RIDGE RD","LEHI","84043","geo:40.446351,-111.888568","http://traversemountain.alpinedistrict.org/Traverse_Mountain_Elementary_School/Welcome.html","https://datagateway.schools.utah.gov/Schools/01258","801-610-8725","801-701-6280","","2010","","Principal","Ilene Strong","istrong@alpinedistrict.org"
"Alpine District","01","Valley View School","176","Public","","","","Pre - 6","941 ORCHARD DR","PLEASANT GROVE","84062","geo:40.358368,-111.71971","http://valleyview.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01176","801-610-8121","801-785-8725","","1967","","Principal","Joel Miller","jmiller@alpinedistrict.org"
"Alpine District","01","Vineyard School","177","Public","","Title I","","Pre - 6","620 E HOLDAWAY RD","VINEYARD","84058","geo:40.289164,-111.73761","http://www.alpine.k12.ut.us/phpApps/genericPage.php?pdid=2008","https://datagateway.schools.utah.gov/Schools/01177","801-610-8122","801-227-2454","","1979","","Principal","Victor Larsen","vlarsen@alpinedistrict.org"
"Alpine District","01","Vista Heights Middle","490","Public","","","","7 - 10","484 W PONY EXPRESS PARKWAY","SARATOGA SPRINGS","84045","geo:40.363408,-111.92772","http://www.alpine.k12.ut.us/phpApps/genericPage.php?pdid=3075","https://datagateway.schools.utah.gov/Schools/01490","801-610-8770","801-763-7045","","2010","","Principal","Todd Dawson","tdawson@alpinedistrict.org"
